"Positively linked with ..., consistently linked with replicability",,,,,,
heterogeneity,usefulness,innovation,pooled,cyberbullying,online,customer
internet,leadership,weighted,autoregressive,political,supervisor,mobile
employee,smartphone,environmental,improve,mathematics,supported,study
climate,trust,medium,capital,size,weaker,estimate
random,intercept,substantially,substantial,organizational,creativity,my
job,judgments,safety,has,proposed,stronger,career
onto,alternative,simultaneously,engagement,fixed,robust,moral
hypothesized,influence,resource,constrained,intention,suggest,work
provide,judged,perceived,impact,next,confidence,worse
across,estimated,shown,mediated,path,class,latent
support,grade,indicate,again,provided,show,related
indirect,initial,through,large,average,better,produced
above,are,positive,relationship,this,similar,which
expected,moderate,student,fit,social,datum,positively
model,that,,,,,
,,,,,,
"Negatively linked with ..., consistently linked with replicability",,,,,,
con,restraint,dietary,smoking,muscle,obese,bmi
rat,dose,motor,caucasian,consumed,intake,hiv
overweight,alcohol,quit,hunger,meal,arm,pre
weight,substance,food,drug,consumption,pain,posthoc
attentional,mother,hsd,fathers,childs,mannwhitney,score
amplitude,parents,twoway,movement,reaction,mothers,session
sex,days,incongruent,parent,care,healthy,maternal
female,woman,family,phase,group,betweengroup,duration
difference,girl,main,having,neutral,patient,education
higher,during,significant,there,observed,compared,only
age,comparison,lower,revealed,significantly,with,
